family,derived,precision,recall,n_pred_cuts,n_gold_cuts
ment,ràpidament,1.0,1.0,1,1
ment,lentament,1.0,1.0,1,1
ment,clarament,1.0,1.0,1,1
ment,fàcilment,1.0,1.0,1,1
ment,difícilment,1.0,1.0,1,1
ment,fortament,1.0,1.0,1,1
ment,dolçament,1.0,1.0,1,1
ment,tristament,1.0,1.0,1,1
ment,netament,1.0,1.0,1,1
ment,segurament,1.0,1.0,1,1
ment,precisament,0.0,0.0,1,1
ment,normalment,1.0,1.0,1,1
ment,generalment,1.0,1.0,1,1
ment,públicament,1.0,1.0,1,1
ment,bàsicament,1.0,1.0,1,1
ment,directament,1.0,1.0,1,1
ment,profundament,1.0,1.0,1,1
ment,intensament,0.0,0.0,1,1
ment,exactament,1.0,1.0,1,1
ment,perfectament,1.0,1.0,1,1
ment,absolutament,1.0,1.0,1,1
ment,relativament,0.0,0.0,1,1
ment,seriosament,1.0,1.0,1,1
ment,nerviosament,1.0,1.0,1,1
ment,lliurement,1.0,1.0,1,1
ment,alegrement,1.0,1.0,1,1
ment,simplement,1.0,1.0,1,1
ment,possiblement,1.0,1.0,1,1
ment,evidentment,1.0,1.0,1,1
ment,recentment,0.0,0.0,1,1
ment,urgentment,1.0,1.0,1,1
ment,atentament,1.0,1.0,1,1
ment,fredament,1.0,1.0,1,1
ment,antigament,0.0,0.0,1,1
ment,llargament,1.0,1.0,1,1
ment,curtament,1.0,1.0,1,1
ment,ricament,1.0,1.0,1,1
ment,novament,1.0,1.0,1,1
ment,greument,1.0,1.0,1,1
ment,amplament,1.0,1.0,1,1
dim_et,gatet,1.0,1.0,1,1
dim_et,caseta,1.0,1.0,1,1
dim_et,finestreta,1.0,1.0,1,1
dim_et,tauleta,1.0,1.0,1,1
dim_et,llibret,1.0,1.0,1,1
dim_et,arbret,1.0,1.0,1,1
dim_et,gotet,1.0,1.0,1,1
dim_et,nenet,1.0,1.0,1,1
dim_et,ocellet,1.0,1.0,1,1
dim_et,floreta,1.0,1.0,1,1
dim_et,porteta,1.0,1.0,1,1
dim_et,peuet,1.0,1.0,1,1
dim_et,cotxet,1.0,1.0,1,1
dim_et,llitet,1.0,1.0,1,1
dim_et,pontet,1.0,1.0,1,1
dim_et,ditet,1.0,1.0,1,1
dim_et,ullet,1.0,1.0,1,1
dim_et,caminet,1.0,1.0,1,1
dim_et,jardinet,1.0,1.0,1,1
dim_et,momentet,1.0,1.0,1,1
dim_et,trenet,1.0,1.0,1,1
dim_et,paperet,1.0,1.0,1,1
